compute_flops,n_params,n_tokens,hex_color,loss_colorbar_raw,loss_colorbar_cal,colorbar_rgb_dist
8.347186085099418e+19,871001327,15972394503,#8b1d5b,2.57283,2.57303,0.45
8.460960332517743e+19,539065593,26159340789,#8b1d5b,2.57283,2.57303,0.45
8.776572630256417e+19,572354527,25556923816,#8b1d5b,2.57283,2.57303,0.45
8.926806480617947e+19,616874465,24118376843,#891e5b,2.56511,2.56533,0.466
8.939496210602774e+19,414294949,35962688912,#8e1d5b,2.59611,2.59626,0.279
8.957228233179849e+19,572354973,26082963233,#8c1d5b,2.58057,2.58075,0.451
9.241155157068179e+19,1115517060,13806983157,#871e5b,2.54975,2.55001,0.473
9.273289762142292e+19,1554243949,9944052183,#901d5b,2.60392,2.60406,0.491
9.415919086614351e+19,796528408,19701994711,#891e5b,2.56511,2.56533,0.466
9.639972111633439e+19,993259360,16175654455,#861e5b,2.54211,2.54238,0.583
9.692440486396332e+19,2907330557,5556322943,#931c5b,2.62749,2.62757,0.493
9.694242899619058e+19,1958029201,8251700992,#8b1d5b,2.57283,2.57303,0.45
9.727469293277802e+19,1750317758,9262574609,#8b1d5b,2.57283,2.57303,0.45
9.779938111191858e+19,1234894743,13199422011,#871e5b,2.54975,2.55001,0.473
9.81397807447265e+19,1688584594,9686592064,#891e5b,2.56511,2.56533,0.466
9.837070389204361e+19,2574688635,6367805835,#8c1d5b,2.58057,2.58075,0.451
9.997737367681648e+19,993257812,16776002574,#871e5b,2.54975,2.55001,0.473
1.0695022361983784e+20,1570058427,11353104421,#8e1d5b,2.59611,2.59626,0.279
1.0932136843252644e+20,616873984,29536385948,#861e5b,2.54211,2.54238,0.583
