source,compute_flops,n_params,n_tokens,hex_color,loss_colorbar_cal,loss_epoch_ai
chinchilla_fig4_left,5.395291350875483e+18,211455603.73166123,4252501278.1738563,#d3214b,3.05111,3.085262719979744
chinchilla_fig4_left,5.616406261770067e+18,170688073.6110205,5484083864.161519,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,5.402476145559258e+18,136340031.524328,6604169596.11658,#d11f4c,3.02308,3.057653118830149
chinchilla_fig4_left,4.74612679797171e+18,103236673.88882843,7662210561.404806,#d5224a,3.0605,3.094521210858053
chinchilla_fig4_left,5.770630621708494e+18,72027117.93784094,13352912039.528688,#d5224a,3.0605,3.094521210858053
chinchilla_fig4_left,5.800888101510304e+18,55937727.763189696,17283767543.759106,#db2946,3.12708,3.1601132738955617
chinchilla_fig4_left,1.3974606276586499e+18,72027117.93784094,3233644650.488102,#ec4a3e,3.37661,3.4059279641864757
chinchilla_fig4_left,2.0562233837582364e+18,103236673.88882843,3319594523.7647223,#e63b40,3.27455,3.3004424648947897
chinchilla_fig4_left,1.7659117031554703e+18,87631868.52790953,3358579728.3192925,#e83f3f,3.29471,3.325255034889082
chinchilla_fig4_left,3.934217284713673e+18,158806839.56227192,4128933505.59058,#d62449,3.07938,3.108464556029377
chinchilla_fig4_left,3.4104072763917266e+18,136340031.524328,4168997222.4374256,#d82748,3.09838,3.131833845205492
chinchilla_fig4_left,2.8677246989525084e+18,113873394.0778822,4197241334.2241673,#de2e44,3.16576,3.1982167939721484
chinchilla_fig4_left,5.398319355249465e+18,191071866.68621463,4708803593.88089,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,6.373089436043152e+18,211455768.46389404,5023185607.042097,#cd1c4e,2.9861,3.021224272849423
chinchilla_fig4_left,5.151585457824589e+18,170688206.58374378,5030210308.542022,#cf1e4d,3.0138,3.048504933511402
chinchilla_fig4_left,8.137374077482981e+18,244965623.58701894,5536405447.648691,#c71951,2.94051,2.976297938663035
chinchilla_fig4_left,1.0199702302466367e+19,298208153.7229295,5700549641.321507,#bf1654,2.87782,2.914521190461052
chinchilla_fig4_left,9.29664740372059e+18,271586891.9804798,5705139974.372538,#c21753,2.90453,2.940838357413416
chinchilla_fig4_left,6.082680805517064e+20,12264992888.984938,8265639804.514761,#821e5a,2.48164,2.5240864505424114
chinchilla_fig4_left,2.8712409307369e+19,1115516191.2208645,4289853960.7845907,#a8185a,2.72252,2.757359717151634
chinchilla_fig4_left,2.89093476999632e+19,993258585.890451,4850926722.512065,#a6195a,2.70578,2.7449912897159163
chinchilla_fig4_left,2.8240700791048995e+19,796527787.271578,5909126511.828826,#aa185a,2.73093,2.7697776574701383
chinchilla_fig4_left,2.784860276856023e+19,616873983.9783382,7524119861.282761,#a4195b,2.69744,2.736778556603052
chinchilla_fig4_left,2.8249158888082952e+19,572354527.3103489,8226008397.5205345,#a4195b,2.69744,2.736778556603052
chinchilla_fig4_left,2.7626526520103535e+19,539065173.0219358,8541492415.234471,#a6195a,2.70578,2.7449912897159163
chinchilla_fig4_left,5.724842218255842e+19,1115515322.1905503,8553359606.353505,#921c5b,2.57539,2.616495387341047
chinchilla_fig4_left,5.362944487276209e+19,993257812.1035461,8998913175.620926,#931c5b,2.59136,2.628284835801397
chinchilla_fig4_left,2.6780445415554687e+19,414294625.75084955,10773510665.676216,#a8185a,2.72252,2.757359717151634
chinchilla_fig4_left,5.583279950479933e+19,796527166.7455841,11682547655.15794,#931c5b,2.59136,2.628284835801397
chinchilla_fig4_left,5.7607636239226446e+19,616873503.4096147,15564410942.387857,#951c5b,2.59937,2.640121479394902
chinchilla_fig4_left,5.3475621025226195e+19,539065173.0219358,16533443357.583948,#951c5b,2.59937,2.640121479394902
chinchilla_fig4_left,5.670748180132644e+19,414294625.75084955,22812864033.074795,#981b5b,2.62356,2.6599757580335908
chinchilla_fig4_left,9.273289762142292e+19,1554243949.342398,9944052182.698248,#901d5b,2.56745,2.6086671008223323
chinchilla_fig4_left,7.463128140481026e+19,1234892818.9311194,10072572056.551504,#971c5b,2.60741,2.6480441566036577
chinchilla_fig4_left,1.190309688244131e+20,1750315030.8199468,11334242381.941593,#871e5b,2.51252,2.554520985765487
chinchilla_fig4_left,1.0695022361983784e+20,1570058427.0870335,11353104421.11647,#8e1d5b,2.55953,2.5969714788717795
chinchilla_fig4_left,9.065517814952052e+18,298207921.4072301,5066664992.316028,#c41753,2.91348,2.949663448686964
chinchilla_fig4_left,9.161359453484282e+18,271586680.40377307,5622121232.077064,#c21753,2.90453,2.940838357413416
